identifiant,nom,localisation,contenu_co2,contenu_co2_acv,taux_enrr,annee_reference
8103C,RÉSEAU DE CHAUFFAGE URBAIN CASTRES LAMEILHÉ,CASTRES,0.011,0.035,96.1,2024
8104C,GAILLAC - ZAC DE POUILLE,GAILLAC,0.057,0.08,77.5,Moyenne
8105C,RESEAU DE CHALEUR DE GRAULHET,GRAULHET,0.026,0.048,89.7,Moyenne
8106C,RÉSEAU DE CHALEUR D'ALBAN,ALBAN,0.014,0.038,96.3,2024
8112C,RÉSEAU DE CHALEUR DE LACAUNE,LACAUNE,0.012,0.034,96.4,Moyenne
8113C,RÉSEAU DE CHALEUR DE SAINT-PIERRE-DE-TRIVISY,SAINT-PIERRE-DE-TRIVISY,0.022,0.051,95.1,Moyenne
8201C,RESEAUX SUD OUEST ENERGIES SERVICES,MONTAUBAN,0.054,0.064,81.5,Moyenne
8202C,RÉSEAU DE CAYLUS,CAYLUS,0,0.02,100,2024
8204C,VILLEBRUMIER,VILLEBRUMIER,0,0.023,100,2024
8205C,RÉSEAU DE CHALEUR DE NÈGREPELISSE,NEGREPELISSE,0.009,0.034,97.8,2024
8206C,RÉSEAU DE CHALEUR DE LAFRANCAISE,LAFRANCAISE,0,0.019,100,2024
8301C,LA BEAUCAIRE,TOULON,0,0.004,100,2024
8304C,BERTHE,LA SEYNE-SUR-MER,0.007,0.012,97.5,Moyenne
8305C,CHAUDIÈRE BOIS,COGOLIN,0,0.017,100,2024
8306C,RÉSEAU COMMUNAL DE PUGET VILLE (BOIS ET CHALEUR),PUGET-VILLE,0.342,0.385,0,2024
8307C,RESEAU THALASSO THERMIE LA SEYNE,SEYNE,0.074,0.048,55.5,2024
8307F,BET RESEAU THALASSO THERMIE LA SEYNE,SEYNE,0.015,0.028,,2024
8401C,LE TRIENNAL,AVIGNON,0.206,0.238,0,2024
8404C,RÉSEAUX VAPEUR VERTE GB FOODS,LE PONTET,0,0.004,100,2024
8405C,NOVALIE,VEDÈNE,0,0.004,100,2024
8501C,ZAD NORD-EST,LA ROCHE-SUR-YON,0.205,0.231,0,2024
8502C,RÉSEAU LES HERBIERS,LES HERBIERS,0.078,0.111,76.2,2024
8503C,RÉSEAU DE CHALEUR SAINT-PIERRE-DU-CHEMIN,SAINT-PIERRE-DU-CHEMIN,0,0.022,100,2024
8601C,GRAND POITIERS CHAUFFAGE URBAIN - POITIERS SAINT B,POITIERS,0.07,0.092,73.2,2024
8601F,RÉSEAU DE FROID FUTUROSCOPE 2,CHASSEUNEUIL DU POITOU,0.028,0.049,,Moyenne
8605C,RÉSEAU LUSIGNAN,LUSIGNAN,0.008,0.031,97.8,2024
8606C,RÉSEAU DE CHALEUR OZON SUD,CHATELLERAULT,0.329,0.369,0,2024
8607C,RÉSEAU DE CIVAUX,CIVAUX,0.228,0.234,12.8,Moyenne
8608C,RÉSEAU DE BEL AIR,POITIERS,0.246,0.259,0,2024
8610C,RÉSEAU CHALEUR UNIVERSITÉ DE POITIERS,POITIERS,0.03,0.052,88,2024
8611C,RÉSEAU DE CHALEUR PARC DU FUTUROSCOPE,CHASSENEUIL DU POITOU,0.16,0.135,20.6,2024
8701C,ZUP VAL DE L'AURENCE,LIMOGES,0.034,0.089,73.8,Moyenne
8702C,ZAC DE BEAUBREUIL,LIMOGES,0.027,0.035,90.8,Moyenne
8703C,RÉSEAU DE BELLAC,BELLAC,0.284,0.318,0,2024
8704C,LIMOGES CENTRE,LIMOGES,0.363,0.406,0,2024
8705C,RÉSEAU DE CHAMBORET,CHAMBORET,0,0.017,100,2024
8707C,RÉSEAU DE CHALEUR SAINT YRIEIX LA PERCHE,SAINT YRIEIX LA PERCHE,0.034,0.058,88.4,2024
8708C,SSLF RESEAU DE CHALEUR ET PRODUCTION D'EAU CHAUDE,ST SULPICE LES FEUILLES,0,0.022,100,2024
8801C,PLATEAU DE LA JUSTICE,EPINAL,0,0.062,87.8,Moyenne
8802C,QUARTIER KELLERMAN,SAINT-DIE-DES-VOSGES,0.101,0.14,52.8,Moyenne
8805C,RÉSEAU DE FRESSE SUR MOSELLE,FRESSE-SUR-MOSELLE,0.015,0.048,96.5,Moyenne
8806C,RÉSEAU DE MONTHUREUX-SUR-SAÔNE,MONTHUREUX-SUR-SAONE,0.037,0.063,88.2,Moyenne
8807C,CHAUFFAGE URBAIN FRAIZE,FRAIZE,0.088,0.12,73.3,2024
8808C,RÉSEAU DE LA BRESSE 1,LA BRESSE,0.127,0.171,70.2,Moyenne
8809C,RÉSEAU DE LA BRESSE 2,LA BRESSE,0.077,0.111,78.9,Moyenne
8811C,RÉSEAU DE FREMIFONTAINE,FREMIFONTAINE,0,0.017,100,2024
8812C,RÉSEAU DE VENTRON,VENTRON,0,0.02,100,2024
8814C,VITTEL,VITTEL,0.094,0.128,64.6,Moyenne
8815C,RÉSEAU DE LA VILLE DE VAGNEY,VAGNEY,0.035,0.062,87.4,Moyenne
8816C,RÉSEAU BAN DE SAPT,BAN-DE-SAPT,0.114,0.146,66.7,Moyenne
8817C,RÉSEAU DE HURBACHE,HURBACHE,0,0.018,100,2024
8818C,RÉSEAU DE SAINT-JEAN D'ORMONT,SAINT-JEAN-D'ORMONT,0,0.018,100,2024
8819C,RÉSEAU DE DENIPAIRE,DENIPAIRE,0,0.032,100,2024
8820C,RÉSEAU DE RAMBERVILLIERS,RAMBERVILLIERS,0.015,0.02,95.2,2024
8821C,CHAUFFERIE BOIS DE SAULXURES SUR MOSELOTTE,SAULXURES SUR MOSELOTTE,0.054,0.09,88.5,2024
8822C,RÉSEAU DE CHAUFFAGE URBAIN DE SAINT-NABORD,SAINT-NABORD,0.009,0.03,96.6,2024
8901C,ZUP DES GRAHUCHES,SENS,0.032,0.045,88.1,Moyenne
8902C,RÉSEAU D'AUXERRE - ZUP DE SAINTE GENEVIÈVE,AUXERRE,0.045,0.072,78.7,2024
8904C,RÉSEAU DE QUARRÉ-LES-TOMBES,QUARRE-LES-TOMBES,0.114,0.142,66.7,Moyenne
9002C,ZUP DES GLACIS,BELFORT,0.124,0.151,51.9,2024
9003C,RÉSEAU DE CHALEUR DE DELLE,DELLE,0.036,0.056,84.6,2024
9101C,RÉSEAU DE MASSY - ANTONY,MASSY,0.068,0.085,80.6,Moyenne
9101F,BET PARIS SACLAY,SACLAY,0.031,0.054,,2024
9102C,RÉSEAU DES ULIS,LES ULIS,0.048,0.064,63.8,Moyenne
9103C,RÉSEAU D'EVRY,EVRY,0.062,0.072,75.5,2024
9104C,DOMAINE DU BOIS DES ROCHES,SAINT-MICHEL-SUR-ORGE,0.204,0.224,0,2024
9105C,RÉSEAU DE GRIGNY,GRIGNY,0.202,0.226,19.5,2024
9106C,OROBIA - RÉSEAU DE BRÉTIGNY-SUR-ORGE,BRETIGNY-SUR-ORGE,0.057,0.081,77.5,Moyenne
9107C,RÉSEAU DE DOURDAN,DOURDAN,0.261,0.299,0,2024
9108C,CEA DIF,BRUYERES-LE-CHATEL,0.069,0.06,66.9,2024
9109C,DSP - VIGNEUX - CONCORDE,VIGNEUX SUR SEINE,0.039,0.057,84.3,Moyenne
9114C,RÉSEAU D'ÉPINAY-SOUS-SÉNART,ÉPINAY-SOUS-SENART,0.061,0.08,74.3,Moyenne
9115C,RÉSEAU DE RIS-ORANGIS,RIS-ORANGIS,0.05,0.073,73.9,2024
9118C,RÉSEAU SEER GRIGNY-VIRY,GRIGNY,0.086,0.109,61,Moyenne
9119C,PARC D'ACTIVITÉS,VILLEJUST,0,0.004,100,2024
9120C,RÉSEAU DE VIRY CHATILLON,VIRY-CHATILLON,0.21,0.248,0,2024
9121C,RÉSEAU DE CHALEUR DE L'ÉCOQUARTIER CAMILLE CLAUDEL,PALAISEAU,0.064,0.088,74.2,2024
9122C,RÉSEAU DU QUARTIER DU GRAND PARC DE BONDOUFLE,BONDOUFLE,0.053,0.076,79,Moyenne
9123C,BET PARIS SACLAY,SACLAY,0.145,0.133,55.4,2024
9125C,RIS-ORANGIS DOCK ET GARE,RIS ORANGIS,0.119,0.122,56.7,2024
9127C,RÉSEAU CHAUD DE L'ÉCOLE POLYTECHNIQUE,PALAISEAU,0.21,0.236,0,2024
9127F,RÉSEAU FROID DE L'ÉCOLE POLYTECHNIQUE,PALAISEAU,0.011,0.021,,2024
9128C,LIAISON CHAUFFAGE ORME,SACLAY,0.198,0.223,0,2024
9201C,RÉSEAU DE MEUDON,MEUDON,0.25,0.284,0,2024
9202C,LES FOSSES JEAN NORD,COLOMBES,0.241,0.27,0,2024
9204C,ZAC SAINTE GENEVIÈVE,NANTERRE,0.162,0.161,33.1,2024
9205C,RÉSEAU GENNEVILLIERS,GENNEVILLIERS,0.092,0.12,62.3,Moyenne
9209C,RÉSEAU DE CHAVILLE,CHAVILLE,0.198,0.249,0,2024
9211C,RÉSEAU DE CHALEUR DE LEVALLOIS,LEVALLOIS PERRET,0.169,0.198,50.3,2024
9217C,RÉSEAU DU PLESSIS-ROBINSON (HLM) - TECNI,LE PLESSIS-ROBINSON,0.165,0.178,27.3,2024
9219C,RÉSEAU CHAUD SEGUIN RIVES DE SEINE,BOULOGNE-BILLANCOURT,0.122,0.13,56.6,2024
9219F,RÉSEAU FROID SEGUIN RIVES DE SEINE,BOULOGNE-BILLANCOURT,0.012,0.024,,2024
9222C,RÉSEAU DE SURESNES,SURESNES,0.2,0.221,12.4,Moyenne
9224C,RÉSEAU SEINERGIE,COURBEVOIE,0.189,0.201,18.9,Moyenne
9225C,RÉSEAU DE LA DÉFENSE,COURBEVOIE,0.144,0.187,40.2,Moyenne
9225F,RÉSEAU DE LA DÉFENSE,COURBEVOIE,0.015,0.028,,Moyenne
9226C,RÉSIDENCE VILLENEUVE,VILLENEUVE-LA-GARENNE,0.292,0.327,0,2024
9230C,RÉSEAU ENEBIO,PUTEAUX,0.216,0.244,0,2024
9231F,RÉSEAU SUC - SOCIÉTÉ URBAINE DE CLIMATISATION,COURBEVOIE,0.009,0.019,,2024
9232C,RESEAU QUARTIER HOCHE,NANTERRE,0.095,0.119,61.2,2024
9233C,RÉSEAU DE LA ZAC DE LA MARINE,COLOMBES,0.121,0.146,48.8,Moyenne
9234C,RÉSEAU DU FORT D'ISSY,ISSY-LES-MOULINEAUX,0.169,0.148,41.1,Moyenne
9234F,CRISTALIA,LEVALLOIS-PERRET,0.013,0.025,,Moyenne
9235C,RÉSEAU DE CLICHY,CLICHY,0.19,0.221,39.3,Moyenne
9235F,RÉSEAU DE FROID DE SURESNES - ICEIS,SURESNES,0.017,0.032,,2024
9236C,RÉSEAU DE BAGNEUX-CHATILLON,BAGNEUX,0.096,0.106,59,2024
9237C,BET NANTERRE CHAUD,NANTERRE,0.116,0.136,54.8,Moyenne
9237F,BET NANTERRE FROID,NANTERRE,0.012,0.023,,Moyenne
9240C,RUEIL ENERGIE,RUEIL-MALMAISON,0.134,0.14,43.9,2024
9240F,RÉSEAU SEINERGIE FROID,COURBEVOIE,0.009,0.023,,2024
9242C,RCU CLAMART PLAINE SUD,CLAMART,0.098,0.121,55,Moyenne
9242F,RÉSEAU ENEBIO FROID,PUTEAUX,0.009,0.023,,2024
9244C,FLOWERGY ASNIÈRES - RCU PARC D'AFFAIRES,ASNIÈRE-SUR-SEINE,0.131,0.131,36.4,2024
9245C,RCU DU QUARTIER ISSY CŒUR DE VILLE,ISSY-LES-MOULINEAUX,0.121,0.083,57.9,2024
9245F,RFU DU QUARTIER ISSY CŒUR DE VILLE,ISSY-LES-MOULINEAUX,0.033,0.057,,2024
9301C,RÉSEAU DE SAINT DENIS,SAINT-DENIS,0.094,0.12,65.1,Moyenne
9302C,RÉSEAU DE BAGNOLET,BAGNOLET,0.095,0.12,62.5,Moyenne
9303C,ZUP DE BOBIGNY - GENYO,BOBIGNY,0.122,0.126,48,2024
9304C,ZAC DE SEVRAN,SEVRAN,0.093,0.114,65.5,2024
9305C,ZUP DES FAUVETTES,NEUILLY SUR MARNE,0.059,0.067,73.4,2024
9306C,RÉSEAU DE VILLEPINTE,VILLEPINTE,0.079,0.1,69.9,2024
9307C,PARIFERIC,AUBERVILLIERS,0.245,0.276,0,2024
9309C,SEBIO,SEVRAN,0.136,0.17,65.5,2024
9310C,RÉSEAU CHAUD ADP LE BOURGET,LE BOURGET,0.272,0.304,3.5,2024
9310F,RÉSEAU FROID ADP LE BOURGET,LE BOURGET,0.021,0.038,,2024
9311C,LE CHÊNE POINTU,CLICHY-SOUS-BOIS,0.212,0.239,0,2024
9312C,RÉSEAU D'AULNAY-SOUS-BOIS - LE GROS SAULE,AULNAY-SOUS-BOIS,0.187,0.236,0,2024
9313C,RÉSEAU DE LA COURNEUVE,LA COURNEUVE,0.078,0.079,64.4,2024
9314C,RÉSEAU DE TREMBLAY EN FRANCE,TREMBLAY EN FRANCE,0.034,0.052,87.2,2024
9315C,RÉSEAU DU BLANC MESNIL,LE BLANC-MESNIL,0.088,0.112,52.2,2024
9316C,RESEAU DE BONDY,BONDY,0.124,0.155,47,2024
9317C,GARONOR,AULNAY-SOUS-BOIS,0.482,0.521,0,2024
9321C,AULNAY 3000 - ROSE DES VENTS,AULNAY-SOUS-BOIS,0.201,0.241,0,2024
9322F,STADE ENERGIES SAS,SAINT-DENIS,0.008,0.016,,Moyenne
9324C,RÉSEAU DE ROSNY-SOUS-BOIS /NOISY-LE-SEC / MONTREUI,ROSNY-SOUS-BOIS,0.045,0.043,79.6,2024
9326C,RÉSEAU DE CHALEUR DE LA ZAC DES DOCKS SAINT-OUEN,SAINT-OUEN-SUR-SEINE,0.064,0.077,80.3,2024
9327C,OPH DE DRANCY,DRANCY,0.1,0.123,54.9,2024
9328C,RESEAU DE NOISY LE GRAND,NOISY LE GRAND,0.072,0.086,73.4,2024
9329C,RÉSEAU DE DUGNY - LE BOURGET,DUGNY,0.249,0.28,0,2024
9401C,RÉSEAU DE LIMEIL-BRÉVANNES,LIMEIL-BREVANNES,0.102,0.125,61.8,Moyenne
9402C,RÉSEAUX DE CRÉTEIL - SCUC,CRETEIL,0.076,0.087,68.3,Moyenne
9403C,RÉSEAU DE CHOISY-VITRY,VITRY-SUR-SEINE,0.127,0.15,65,2024
9404C,RÉSEAU DE FONTENAY SOUS BOIS,FONTENAY-SOUS-BOIS,0.167,0.203,25.7,2024
9406C,RÉSEAU DE IVRY PORT,IVRY-SUR-SEINE,0.064,0.084,79.1,2024
9408C,MARCHÉ INTERNATIONAL DE RUNGIS,RUNGIS,0.005,0.01,97.8,2024
9409C,RÉSEAU DE SUCY EN BRIE,SUCY-EN-BRIE,0.006,0.022,97.4,2024
9410C,RÉSEAU DE CACHAN,CACHAN,0.065,0.084,71.6,Moyenne
9411C,RÉSEAU DE CHAMPIGNY SUR MARNE,CHAMPIGNY-SUR-MARNE,0.064,0.087,72.6,Moyenne
9412C,RÉSEAU DE MAISONS-ALFORT,MAISONS-ALFORT,0.101,0.122,57.6,2024
9413C,RÉSEAU DE THIAIS,THIAIS,0.023,0.04,90.8,2024
9414C,BONNEUIL-RESEAU CHALEUR,BONNEUIL-SUR-MARNE,0.011,0.027,95.7,Moyenne
9415C,RÉSEAU DE CHEVILLY-LARUE L'HAŸ-LES-ROSES VILLEJUIF,CHEVILLY-LARUE,0.045,0.055,80,2024
9419C,RÉSEAU DE FRESNES,FRESNES,0.079,0.096,65.4,2024
9420C,RÉSEAU D'ORLY,ORLY,0.037,0.054,85.1,2024
9421C,RÉSEAU D'ALFORTVILLE,ALFORTVILLE,0.021,0.037,91,2024
9422C,ARCUEIL-GENTILLY,ARCUEIL,0.048,0.053,79.2,Moyenne
9423C,RÉSEAU D'IVRY CENTRE VILLE (OBSERVATION POUR 2026),IVRY-SUR-SEINE,0.065,0.089,78.7,2024
9424C,RÉSEAU DE VILLENEUVE SAINT GEORGES - SCVG,VILLENEUVE-SAINT-GEORGES,0.105,0.125,56,Moyenne
9425C,RÉSEAU CHAUD ADP ORLY,ORLY,0.053,0.068,81.3,2024
9425F,RÉSEAU FROID ADP ORLY,ORLY,0.009,0.018,,2024
9429C,MAISON ALFORT,ALFORTVILLE,0.215,0.242,0,2024
9430C,RÉSEAU ENERUNGIS,RUNGIS,0.007,0.016,97.6,2024
9501C,IDEX CROIX ROUGE GEOTHERMIE,TAVERNY,0.236,0.266,0,2024
9502C,GRAND ENSEMBLE SARCELLES-LOCHERES,SARCELLES,0.077,0.092,67.6,Moyenne
9503C,RÉSEAU DE CERGY - PONTOISE,CERGY,0.086,0.103,69.4,2024
9507C,ZUP DE SANNOIS - ERMONT - FRANCONVILLE,FRANCONVILLE,0.099,0.125,72.1,2024
9509C,RÉSEAU D'ARGENTEUILRÉSEAU D'ARGENTEUIL - ARGEVAL,ARGENTEUIL,0.045,0.055,80.8,2024
9510C,RÉSEAUX CHAUD ADP ROISSY,ROISSY-EN-FRANCE,0.177,0.203,24,Moyenne
9510F,RÉSEAU FROID ADP ROISSY,ROISSY-EN-FRANCE,0.009,0.019,,2024
9511C,ZUP DE L'EPINE GUYON,FRANCONVILLE,0.218,0.255,0,2024
9514C,RÉSEAU DE VILLIERS LE BEL - GONESSE,VILLIERS-LE-BEL,0.092,0.12,56.7,2024
9515C,RÉSEAU DE PONTOISE,PONTOISE,0.204,0.245,0,2024
9516C,ZAC DE MONTEDOUR,FRANCONVILLE,0.212,0.238,0,2024
9518C,RÉSEAU DE GOUSSAINVILLE,GOUSSAINVILLE,0.023,0.03,90,Moyenne
9519C,« PLACO »,ARGENTEUIL,0,0.004,100,2024
9520C,RESEAU DE VEMARS,VEMARS,0.287,0.321,0,2024
9521C,LES CHENES,ERMONT,0.232,0.261,0,2024
9522C,RÉSEAU DE GARGES-LES-GONESSE,GARGES-LES-GONESSE,0.272,0.305,0,2024
9523C,AGRIVALSEINE ENERGIE,BEZONS,0.057,0.074,80.8,2024
